artists,type,sex,album_name,artists,won,num_of_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Santana,Group,Male,Supernatural,Santana,True,14,0.5827857142857144,0.7920714285714286,7.071428571428571,-6.360285714285715,0.42857142857142855,0.05924285714285714,0.2065857142857143,0.19121176642857146,0.17942857142857144,0.734,112.04100000000001,319684.71428571426
TLC,Group,Female,FanMail,TLC,False,17,0.691764705882353,0.6200588235294117,5.764705882352941,-7.341235294117647,0.5294117647058824,0.15986470588235294,0.07315258823529412,0.02165045705882353,0.21345882352941176,0.6078235294117647,114.40876470588236,223631.29411764705
The Chicks,Group,Female,Fly,The Chicks,False,13,0.5938461538461539,0.5911923076923077,4.153846153846154,-8.442769230769231,1.0,0.035015384615384615,0.20760076923076923,0.001895456153846154,0.15404615384615386,0.5682307692307693,129.98646153846155,220581.46153846153
Backstreet Boys,Group,Male,Millennium,Backstreet Boys,False,12,0.643,0.6184166666666667,4.833333333333333,-6.766333333333335,0.5,0.03009166666666667,0.21787500000000004,1.4499999999999999e-06,0.18482500000000002,0.5111666666666667,120.62941666666667,230227.75
Diana Krall,Person,Female,When I Look in Your Eyes,Diana Krall,False,13,0.5319999999999999,0.16694615384615388,5.769230769230769,-16.167307692307695,0.5384615384615384,0.04062307692307692,0.8778461538461536,0.017048020769230766,0.12309230769230768,0.32599999999999996,109.45092307692309,250796.0
Steely Dan,Group,Male,Two Against Nature,Steely Dan,True,9,0.8077777777777778,0.49100000000000005,8.11111111111111,-9.403777777777776,0.3333333333333333,0.044866666666666666,0.3588888888888888,0.02023272888888889,0.11773333333333334,0.6843333333333333,121.68688888888889,343377.77777777775
Radiohead,Group,Male,Kid A,Radiohead,False,11,0.3869090909090909,0.4757272727272727,4.545454545454546,-12.850272727272726,0.7272727272727273,0.06030000000000001,0.5003790909090908,0.6282020272727272,0.17490000000000003,0.27056363636363634,113.363,257418.54545454544
Eminem,Person,Male,The Marshall Mathers LP,Eminem,False,18,0.7386666666666666,0.6762222222222223,6.111111111111111,-6.582055555555557,0.3888888888888889,0.31761666666666666,0.14341277777777778,1.0963333333333334e-05,0.3192111111111111,0.5775444444444444,101.64716666666666,240944.5
Beck,Person,Male,Midnite Vultures,Beck,False,14,0.6231428571428571,0.763357142857143,4.785714285714286,-7.551642857142858,0.7142857142857143,0.07793571428571429,0.08912785714285713,0.15235526428571428,0.29327857142857144,0.5982857142857142,105.55514285714287,220532.42857142858
Paul Simon,Person,Male,You're the One,Paul Simon,False,14,0.5856428571428571,0.36232142857142857,6.142857142857143,-14.47285714285714,0.9285714285714286,0.04907142857142858,0.6626428571428572,0.01392638,0.122,0.5327142857142857,110.01978571428572,183785.64285714287
Various Artists,Group,Mixed,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",Various Artists,True,19,0.5593684210526315,0.21661052631578945,5.052631578947368,-15.371421052631577,0.8947368421052632,0.07072631578947368,0.851578947368421,0.07563757421052632,0.15122105263157892,0.5487894736842106,112.09473684210528,191155.1052631579
India.Arie,Person,Female,Acoustic Soul,India.Arie,False,16,0.6638124999999999,0.40189375,5.625,-9.9088125,0.3125,0.06684375,0.36543125000000004,0.013131335,0.18845,0.51025,116.5983125,230350.0625
U2,Group,Male,All That You Can't Leave Behind,U2,False,11,0.5415454545454546,0.6596363636363637,5.2727272727272725,-8.072454545454546,1.0,0.03113636363636364,0.17358636363636365,0.02485842727272727,0.24111818181818181,0.4379090909090909,123.96690909090911,267655.7272727273
Bob Dylan,Person,Male,Love and Theft,Bob Dylan,False,12,0.5750833333333333,0.6509166666666667,4.916666666666667,-8.88225,0.9166666666666666,0.05281666666666666,0.3251366666666667,0.0006357658333333334,0.13210833333333333,0.54225,103.52166666666666,287524.4166666667
OutKast,Group,Male,Stankonia,OutKast,False,24,0.6694999999999999,0.641,5.041666666666667,-9.587208333333335,0.6666666666666666,0.207925,0.21440041666666668,0.031229616250000005,0.2662708333333333,0.58025,109.71220833333332,183246.79166666666
Norah Jones,Person,Female,Come Away with Me,Norah Jones,True,44,0.5616818181818183,0.17641136363636364,4.568181818181818,-13.581954545454543,0.8636363636363636,0.03948636363636363,0.854636363636364,0.02667351136363636,0.1107568181818182,0.31537954545454544,104.45406818181819,204056.45454545456
Eminem,Person,Male,The Eminem Show,Eminem,False,20,0.72035,0.604985,5.65,-7.623249999999999,0.65,0.28606000000000004,0.1263365,0.0479443785,0.17504,0.5047150000000001,107.90125,232526.05
The Chicks,Group,Female,Home,The Chicks,False,12,0.5274166666666665,0.47458333333333336,4.583333333333333,-7.476999999999999,0.9166666666666666,0.03125833333333333,0.419875,0.06675853666666667,0.20545,0.46208333333333335,141.97325,258509.25
Nelly,Person,Male,Nellyville,Nelly,False,19,0.780157894736842,0.5789473684210527,5.421052631578948,-9.755842105263158,0.5789473684210527,0.3035,0.22910684210526314,9.273842105263158e-05,0.23598421052631577,0.6735263157894736,118.12694736842107,239231.52631578947
Bruce Springsteen,Person,Male,The Rising,Bruce Springsteen,False,15,0.5474666666666667,0.6797999999999998,4.733333333333333,-8.388,0.8,0.03151999999999999,0.12334060000000001,0.011291004666666668,0.19129333333333334,0.61892,119.00526666666666,288812.4
OutKast,Group,Male,Speakerboxxx/The Love Below,OutKast,True,40,0.674375,0.6640499999999999,4.875,-7.934925,0.6,0.23396,0.292839725,0.0473210625,0.199505,0.55955,115.91322500000001,202558.3
The White Stripes,Group,Mixed,Elephant,The White Stripes,False,14,0.46178571428571435,0.5900714285714285,5.214285714285714,-8.954071428571428,0.7857142857142857,0.15108571428571427,0.20941285714285712,0.11002157142857143,0.14350714285714286,0.4020714285714286,121.50528571428572,218068.2857142857
Evanescence,Group,Mixed,Fallen,Evanescence,False,12,0.35316666666666663,0.6950833333333333,6.25,-6.223916666666667,0.16666666666666666,0.048558333333333335,0.21593333333333334,0.0015817799999999999,0.19782500000000003,0.2579416666666667,131.63308333333336,243854.33333333334
Justin Timberlake,Person,Male,Justified,Justin Timberlake,False,13,0.7369230769230769,0.6352307692307693,4.076923076923077,-7.178538461538461,0.38461538461538464,0.07638461538461538,0.2980923076923077,0.018755882307692307,0.09300769230769232,0.7179230769230768,99.31684615384614,292394.92307692306
Missy Elliott,Person,Female,Under Construction,Missy Elliott,False,14,0.7442857142857144,0.6401428571428571,4.714285714285714,-6.915642857142858,0.7857142857142857,0.3607857142857142,0.2717214285714286,3.6142857142857146e-05,0.2039,0.6628571428571427,106.26071428571429,240607.5
Ray Charles,Person,Male,Genius Loves Company,Ray Charles,True,12,0.4929166666666666,0.42275,6.166666666666667,-9.725916666666668,0.75,0.06630000000000001,0.6050000000000001,0.0009260583333333333,0.18161666666666668,0.3705916666666667,121.05075,258129.5
Green Day,Group,Male,American Idiot,Green Day,False,9,0.39222222222222225,0.8722222222222222,6.111111111111111,-3.789444444444445,1.0,0.06041111111111111,0.0031784888888888884,0.00040508888888888894,0.19875555555555555,0.5091111111111111,142.24611111111113,382636.8888888889
Kanye West,Person,Male,The College Dropout,Kanye West,False,21,0.5795238095238096,0.5935714285714287,5.571428571428571,-7.796428571428571,0.5238095238095238,0.40761428571428565,0.36002190476190477,6.542857142857144e-07,0.321,0.665,109.78414285714284,218258.33333333334
Usher,Person,Male,Confessions,Usher,False,21,0.7659523809523809,0.5603333333333332,4.333333333333333,-7.137857142857142,0.7142857142857143,0.11863333333333333,0.133602,0.0006363947619047619,0.16093333333333332,0.6289523809523809,114.61876190476191,224439.33333333334
Alicia Keys,Person,Female,The Diary of Alicia Keys,Alicia Keys,False,15,0.6143333333333333,0.5842666666666666,7.333333333333333,-8.471400000000001,0.4666666666666667,0.10894666666666668,0.34453333333333336,0.038570909333333334,0.1885933333333333,0.5025333333333334,113.37146666666668,231502.13333333333
U2,Group,Male,How to Dismantle an Atomic Bomb,U2,True,12,0.41416666666666674,0.7349166666666666,6.416666666666667,-5.0175833333333335,0.75,0.04080833333333333,0.04161066666666667,0.10695624999999999,0.1441916666666667,0.358125,139.14058333333335,261177.83333333334
Paul McCartney,Person,Male,Chaos and Creation in the Backyard,Paul McCartney,False,14,0.5392857142857143,0.49207142857142866,6.142857142857143,-7.822357142857143,0.7857142857142857,0.02947142857142857,0.41512142857142864,0.12251019142857143,0.12350000000000001,0.3455714285714286,122.5272142857143,199731.5
Mariah Carey,Person,Female,The Emancipation of Mimi,Mariah Carey,False,14,0.7055714285714287,0.6134285714285715,4.571428571428571,-6.2205,0.5,0.09918571428571428,0.2571142857142857,8.795714285714285e-06,0.14199285714285712,0.6532857142857144,111.01378571428572,214887.64285714287
Kanye West,Person,Male,Late Registration,Kanye West,False,21,0.5956190476190476,0.6364761904761904,7.523809523809524,-7.859238095238096,0.5238095238095238,0.3764,0.1802461904761905,0.0021866333333333335,0.2009809523809524,0.520904761904762,97.7745238095238,200106.04761904763
Gwen Stefani,Person,Female,Love. Angel. Music. Baby.,Gwen Stefani,False,20,0.7471500000000001,0.8180999999999999,5.75,-4.25665,0.55,0.069105,0.1106229,0.08031775799999999,0.20361500000000002,0.69255,125.89090000000002,275716.65
The Chicks,Group,Female,Taking the Long Way,The Chicks,True,14,0.5210714285714285,0.6468571428571427,5.142857142857143,-4.220714285714285,1.0,0.03527142857142858,0.2930142857142857,0.0013795292857142853,0.15817857142857142,0.4153571428571428,105.22714285714285,284569.0
John Mayer,Person,Male,Continuum,John Mayer,False,12,0.6238333333333334,0.4651666666666667,4.0,-9.112166666666665,0.8333333333333334,0.039075,0.4634416666666667,0.007865750000000001,0.11887500000000002,0.45175000000000004,122.12808333333332,249348.83333333334
Justin Timberlake,Person,Male,FutureSex/LoveSounds,Justin Timberlake,False,12,0.7636666666666668,0.5989166666666667,5.333333333333333,-6.225666666666666,0.3333333333333333,0.10502500000000002,0.1894583333333333,0.002669114166666667,0.22024166666666667,0.6431666666666667,108.09691666666667,331405.4166666667
Gnarls Barkley,Group,Male,St. Elsewhere,Gnarls Barkley,False,16,0.6757500000000001,0.8496250000000001,6.8125,-4.820625,0.375,0.131775,0.10124706249999998,0.129898051875,0.3277875,0.7598125,127.87131249999999,159399.875
Red Hot Chili Peppers,Group,Male,Stadium Arcadium,Red Hot Chili Peppers,False,29,0.5261724137931035,0.7801034482758622,4.758620689655173,-4.526034482758621,0.6206896551724138,0.08717241379310345,0.11802027586206895,0.0049314731034482764,0.17435862068965519,0.5006896551724138,119.37924137931034,313905.6896551724
Herbie Hancock,Person,Male,River: The Joni Letters,Herbie Hancock,True,14,0.4881428571428571,0.25703571428571426,5.714285714285714,-13.86221428571429,0.7857142857142857,0.038778571428571426,0.87,0.1977357185714286,0.11602142857142858,0.2584285714285714,120.03964285714285,413924.85714285716
Amy Winehouse,Person,Female,Back to Black,Amy Winehouse,False,19,0.5914736842105263,0.47533157894736844,5.947368421052632,-10.972315789473683,0.6842105263157895,0.07171052631578949,0.3212373684210526,0.0032529163157894734,0.1470263157894737,0.5808421052631579,117.10399999999998,193175.36842105264
Foo Fighters,Group,Male,"Echoes, Silence, Patience & Grace",Foo Fighters,False,12,0.4785833333333333,0.6265833333333334,4.5,-7.419500000000002,0.9166666666666666,0.03795833333333333,0.20938548166666662,0.071712485,0.11032500000000002,0.34508333333333335,131.75758333333334,256027.58333333334
Kanye West,Person,Male,Graduation,Kanye West,False,14,0.575857142857143,0.6229285714285714,5.928571428571429,-7.312714285714286,0.5714285714285714,0.1854642857142857,0.11667000000000001,4.022857142857142e-05,0.29922857142857145,0.5192857142857144,100.12928571428571,233519.07142857142
Vince Gill,Person,Male,These Days,Vince Gill,False,43,0.5866046511627907,0.5678372093023256,5.3023255813953485,-7.979581395348838,0.9069767441860465,0.031727906976744186,0.48569999999999997,0.0034543353488372093,0.16573488372093026,0.5301348837209301,121.71162790697676,230484.6511627907
Robert Plant,Person,Male,Raising Sand,Robert Plant,True,13,0.5244615384615385,0.4484615384615385,5.461538461538462,-10.552999999999999,0.6153846153846154,0.039784615384615384,0.4325076923076922,0.28156629230769237,0.12833076923076925,0.43006923076923076,125.02692307692308,263860.6153846154
Radiohead,Group,Male,In Rainbows,Radiohead,False,10,0.5283,0.5918,5.2,-8.690999999999999,0.4,0.03762,0.460913,0.3859660000000001,0.09336,0.39673,119.45060000000001,255862.0
Lil Wayne,Person,Male,Tha Carter III,Lil Wayne,False,16,0.6805,0.579875,4.9375,-8.257874999999999,0.5,0.2254,0.091300625,0.000434276875,0.25860625,0.5273749999999999,125.080375,292710.875
Coldplay,Group,Male,Viva la Vida or Death and All His Friends,Coldplay,False,10,0.3169,0.6579,5.9,-8.2849,0.6,0.03871000000000001,0.115286,0.437132323,0.2088,0.2618,126.54660000000001,275506.5
Ne-Yo,Person,Male,Year of the Gentleman,Ne-Yo,False,13,0.6815384615384616,0.6627692307692308,4.076923076923077,-5.751692307692307,0.7692307692307693,0.0642153846153846,0.2714153846153846,2.703076923076923e-06,0.14750769230769228,0.48961538461538456,132.4573076923077,250657.3076923077
Taylor Swift,Person,Female,Fearless,Taylor Swift,True,26,0.5510384615384616,0.6391153846153846,4.538461538461538,-6.196538461538462,0.9615384615384616,0.037853846153846155,0.2140611923076923,6.142307692307693e-07,0.16235384615384618,0.4219230769230769,131.23723076923076,245865.57692307694
Dave Matthews Band,Group,Male,Big Whiskey & the GrooGrux King,Dave Matthews Band,False,20,0.5487500000000001,0.7499,3.9,-6.5939000000000005,0.75,0.05131,0.16389345000000002,0.05533673,0.38707499999999995,0.5222,112.68844999999999,260553.25
Black Eyed Peas,Group,Mixed,The E.N.D.,Black Eyed Peas,False,15,0.7790666666666667,0.6603333333333333,5.066666666666666,-6.841933333333334,0.4666666666666667,0.11088000000000002,0.09594799999999999,0.009863186666666666,0.3017333333333333,0.5508,122.04806666666667,265694.2
Lady Gaga,Person,Female,The Fame,Lady Gaga,False,15,0.7791333333333333,0.76,4.266666666666667,-4.484733333333334,0.6,0.06405999999999999,0.06287733333333333,0.003400266,0.14683333333333334,0.7312000000000001,120.98713333333333,216410.6
Beyonce,Person,Female,I Am... Sasha Fierce,Beyoncé,False,16,0.5243125000000001,0.5526249999999999,3.875,-7.728750000000001,0.875,0.1075125,0.21560625,0.002663946875,0.17773125,0.384,106.33868749999999,231835.0
Arcade Fire,Group,Mixed,The Suburbs,Arcade Fire,True,16,0.448625,0.7213812500000001,5.5625,-7.5345625,0.6875,0.04525,0.2175929375,0.231031875,0.20523750000000002,0.41821875,127.5908125,240316.625
Lady Gaga,Person,Female,The Fame Monster,Lady Gaga,False,23,0.7272173913043478,0.7740000000000001,4.260869565217392,-4.731826086956521,0.6086956521739131,0.055569565217391315,0.06205193913043476,0.002424451739130435,0.17515217391304344,0.6437391304347827,118.93891304347825,230444.0
Lady Antebellum,Group,Mixed,Need You Now,Lady Antebellum,False,11,0.589,0.7214545454545455,5.181818181818182,-4.764454545454546,0.9090909090909091,0.03911818181818182,0.1858327272727273,0.00017229181818181818,0.16759090909090907,0.4313636363636364,117.14145454545452,241379.45454545456
Eminem,Person,Male,Recovery,Eminem,False,17,0.6685294117647058,0.9168823529411765,5.470588235294118,-2.503,0.7647058823529411,0.24665882352941176,0.15259411764705882,1.3e-07,0.3044941176470588,0.5481764705882354,114.8165294117647,272013.29411764705
Katy Perry,Person,Female,Teenage Dream,Katy Perry,False,12,0.6565,0.7495833333333334,4.083333333333333,-4.752583333333333,0.75,0.057949999999999995,0.10405183333333333,3.0150000000000004e-06,0.211175,0.6042500000000001,132.92016666666666,234109.41666666666
Adele,Person,Female,21,Adele,True,11,0.5802727272727273,0.5339999999999999,2.6363636363636362,-6.081818181818181,0.6363636363636364,0.03602727272727273,0.4391436363636364,0.0002160327272727273,0.11753636363636363,0.4149090909090909,133.50972727272728,262265.9090909091
Lady Gaga,Person,Female,Born This Way,Lady Gaga,False,22,0.6203181818181819,0.796590909090909,5.545454545454546,-5.684636363636364,0.6363636363636364,0.0575,0.010399481818181818,0.030485352272727275,0.2919272727272728,0.4425454545454544,126.09081818181818,272443.63636363635
Bruno Mars,Person,Male,Doo-Wops & Hooligans,Bruno Mars,False,10,0.6454000000000001,0.6763,5.1,-5.2465,0.3,0.04535,0.30497,3.7e-07,0.14068999999999998,0.5552400000000001,123.1702,212664.6
Rihanna,Person,Female,Loud,Rihanna,False,13,0.6416153846153847,0.7818461538461539,6.230769230769231,-4.448769230769231,0.6153846153846154,0.08124615384615384,0.10435384615384616,2.8071538461538462e-05,0.20170000000000005,0.5588461538461539,130.06469230769233,250488.23076923078
Foo Fighters,Group,Male,Wasting Light,Foo Fighters,False,11,0.44618181818181823,0.8184545454545454,7.636363636363637,-4.4920909090909085,0.45454545454545453,0.03918181818181818,7.600272727272728e-05,0.08453521545454545,0.24104545454545453,0.47845454545454547,132.3943636363636,261092.0909090909
Mumford & Sons,Group,Male,Babel,Mumford & Sons,True,15,0.4050666666666667,0.514,3.533333333333333,-9.003933333333334,0.9333333333333333,0.038193333333333336,0.27314733333333335,0.001798086666666667,0.15525333333333335,0.2852,110.48819999999999,254364.86666666667
Jack White,Person,Male,Blunderbuss,Jack White,False,13,0.45253846153846145,0.6786923076923076,7.230769230769231,-10.749384615384615,0.6923076923076923,0.06876923076923076,0.1726520692307692,0.08947579769230771,0.16416923076923076,0.4979230769230769,140.42707692307692,193392.6923076923
Frank Ocean,Person,Male,Channel Orange,Frank Ocean,False,17,0.5468823529411765,0.48314117647058824,6.176470588235294,-10.392588235294117,0.6470588235294118,0.1434764705882353,0.3993823529411764,0.16122110176470586,0.2726764705882353,0.39844705882352943,112.03476470588237,196909.0
The Black Keys,Group,Male,El Camino,The Black Keys,False,11,0.5392727272727273,0.7234545454545455,3.3636363636363638,-6.004363636363636,0.6363636363636364,0.04119090909090909,0.022830363636363635,0.07248745181818181,0.22433636363636367,0.5506363636363636,123.97636363636364,209638.81818181818
Fun.,Group,Male,Some Nights,Fun.,False,12,0.4775833333333333,0.6676666666666667,4.75,-6.164916666666667,0.8333333333333334,0.06705833333333333,0.20334397499999998,5.690333333333334e-05,0.19497499999999998,0.46458333333333335,136.84091666666666,252262.33333333334
Daft Punk,Group,Male,Random Access Memories,Daft Punk,True,13,0.6864615384615386,0.5858461538461538,7.538461538461538,-10.704076923076924,0.15384615384615385,0.04431538461538462,0.2879061538461538,0.3736202669230769,0.1328769230769231,0.48823076923076925,114.47115384615383,344407.23076923075
Sara Bareilles,Person,Female,The Blessed Unrest,Sara Bareilles,False,12,0.5924166666666667,0.5650000000000001,4.166666666666667,-6.613833333333335,0.75,0.04084166666666667,0.2799433333333333,0.0049952600000000005,0.07876666666666667,0.42944166666666667,122.02649999999998,253454.33333333334
Kendrick Lamar,Person,Male,"Good Kid, M.A.A.D City",Kendrick Lamar,False,17,0.6012941176470588,0.6767058823529412,4.529411764705882,-7.811941176470588,0.47058823529411764,0.26831764705882355,0.12321858823529412,0.0006690170588235294,0.3114117647058824,0.3982058823529412,116.04505882352942,325379.5294117647
Macklemore & Ryan Lewis,Group,Male,The Heist,Macklemore & Ryan Lewis,False,15,0.5976,0.7155999999999999,4.866666666666666,-7.042466666666666,0.6666666666666666,0.23309333333333332,0.30036,0.06187609333333334,0.17571333333333333,0.5035533333333333,116.08113333333333,256954.53333333333
Taylor Swift,Person,Female,Red,Taylor Swift,False,30,0.5769666666666667,0.5869000000000001,4.333333333333333,-7.014266666666667,0.9666666666666667,0.04225000000000001,0.1768657,0.0001489833333333333,0.12477999999999999,0.4246,124.36163333333336,261328.0
