artists,url,type,sex
Santana,santana,Group,Male
TLC,tlc,Group,Female
The Chicks,the-chicks,Group,Female
Backstreet Boys,backstreet-boys,Group,Male
Diana Krall,diana-krall,Person,Female
Steely Dan,steely-dan,Group,Male
Radiohead,radiohead,Group,Male
Eminem,eminem,Person,Male
Beck,beck,Person,Male
Paul Simon,paul-simon,Person,Male
Various Artists,various-artists,Group,Mixed
India.Arie,india.arie,Person,Female
U2,u2,Group,Male
Bob Dylan,bob-dylan,Person,Male
OutKast,outkast,Group,Male
Norah Jones,norah-jones,Person,Female
Eminem,eminem,Person,Male
The Chicks,the-chicks,Group,Female
Nelly,nelly,Person,Male
Bruce Springsteen,bruce-springsteen,Person,Male
OutKast,outkast,Group,Male
The White Stripes,the-white-stripes,Group,Mixed
Evanescence,evanescence,Group,Mixed
Justin Timberlake,justin-timberlake,Person,Male
Missy Elliott,missy-elliott,Person,Female
Ray Charles,ray-charles,Person,Male
Green Day,green-day,Group,Male
Kanye West,kanye-west,Person,Male
Usher,usher,Person,Male
Alicia Keys,alicia-keys,Person,Female
U2,u2,Group,Male
Paul McCartney,paul-mccartney,Person,Male
Mariah Carey,mariah-carey,Person,Female
Kanye West,kanye-west,Person,Male
Gwen Stefani,gwen-stefani,Person,Female
The Chicks,the-chicks,Group,Female
John Mayer,john-mayer,Person,Male
Justin Timberlake,justin-timberlake,Person,Male
Gnarls Barkley,gnarls-barkley,Group,Male
Red Hot Chili Peppers,red-hot-chili-peppers,Group,Male
Herbie Hancock,herbie-hancock,Person,Male
Amy Winehouse,amy-winehouse,Person,Female
Foo Fighters,foo-fighters,Group,Male
Kanye West,kanye-west,Person,Male
Vince Gill,vince-gill,Person,Male
Robert Plant,robert-plant,Person,Male
Radiohead,radiohead,Group,Male
Lil Wayne,lil-wayne,Person,Male
Coldplay,coldplay,Group,Male
Ne-Yo,ne-yo,Person,Male
Taylor Swift,taylor-swift,Person,Female
Dave Matthews Band,dave-matthews-band,Group,Male
Black Eyed Peas,black-eyed-peas,Group,Mixed
Lady Gaga,lady-gaga,Person,Female
Beyonce,beyonce,Person,Female
Arcade Fire,arcade-fire,Group,Mixed
Lady Gaga,lady-gaga,Person,Female
Lady Antebellum,lady-antebellum,Group,Mixed
Eminem,eminem,Person,Male
Katy Perry,katy-perry,Person,Female
Adele,adele,Person,Female
Lady Gaga,lady-gaga,Person,Female
Bruno Mars,bruno-mars,Person,Male
Rihanna,rihanna,Person,Female
Foo Fighters,foo-fighters,Group,Male
Mumford & Sons,mumford-&-sons,Group,Male
Jack White,jack-white,Person,Male
Frank Ocean,frank-ocean,Person,Male
The Black Keys,the-black-keys,Group,Male
Fun.,fun.,Group,Male
Daft Punk,daft-punk,Group,Male
Sara Bareilles,sara-bareilles,Person,Female
Kendrick Lamar,kendrick-lamar,Person,Male
Macklemore & Ryan Lewis,macklemore-&-ryan-lewis,Group,Male
Taylor Swift,taylor-swift,Person,Female
Beck,beck,Person,Male
Beyonce,beyonce,Person,Female
Pharrell Williams,pharrell-williams,Person,Male
Sam Smith,sam-smith,Person,Non-binary
Ed Sheeran,ed-sheeran,Person,Male
Taylor Swift,taylor-swift,Person,Female
The Weeknd,the-weeknd,Person,Male
Alabama Shakes,alabama-shakes,Group,Mixed
Kendrick Lamar,kendrick-lamar,Person,Male
Chris Stapleton,chris-stapleton,Person,Male
Adele,adele,Person,Female
Beyonce,beyonce,Person,Female
Justin Bieber,justin-bieber,Person,Male
Sturgill Simpson,sturgill-simpson,Person,Male
Drake,drake,Person,Male
Bruno Mars,bruno-mars,Person,Male
Childish Gambino,childish-gambino,Person,Male
Kendrick Lamar,kendrick-lamar,Person,Male
Jay-Z,jay-z,Person,Male
Lorde,lorde,Person,Female
Kacey Musgraves,kacey-musgraves,Person,Female
Post Malone,post-malone,Person,Male
Various Artists,various-artists,Group,Mixed
Brandi Carlile,brandi-carlile,Person,Female
Janelle Monae,janelle-monae,Person,Non-binary
H.E.R.,h.e.r.,Person,Female
Cardi B,cardi-b,Person,Female
Drake,drake,Person,Male
Billie Eilish,billie-eilish,Person,Female
Lizzo,lizzo,Person,Female
Vampire Weekend,vampire-weekend,Group,Male
Bon Iver,bon-iver,Group,Male
H.E.R.,h.e.r.,Person,Female
Lana Del Rey,lana-del-rey,Person,Female
Lil Nas X,lil-nas-x,Person,Male
Ariana Grande,ariana-grande,Person,Female
Taylor Swift,taylor-swift,Person,Female
Black Pumas,black-pumas,Group,Male
Jhene Aiko,jhene-aiko,Person,Female
Jacob Collier,jacob-collier,Person,Male
Coldplay,coldplay,Group,Male
Dua Lipa,dua-lipa,Person,Female
Post Malone,post-malone,Person,Male
Haim,haim,Group,Female
Jon Batiste,jon-batiste,Person,Male
H.E.R.,h.e.r.,Person,Female
Kanye West,kanye-west,Person,Male
Taylor Swift,taylor-swift,Person,Female
Billie Eilish,billie-eilish,Person,Female
Justin Bieber,justin-bieber,Person,Male
Tony Bennett,tony-bennett,Person,Male
Lil Nas X,lil-nas-x,Person,Male
Doja Cat,doja-cat,Person,Female
Olivia Rodrigo,olivia-rodrigo,Person,Female
Harry Styles,harry-styles,Person,Male
Adele,adele,Person,Female
Mary J. Blige,mary-j.-blige,Person,Female
Brandi Carlile,brandi-carlile,Person,Female
Kendrick Lamar,kendrick-lamar,Person,Male
Coldplay,coldplay,Group,Male
Beyonce,beyonce,Person,Female
Lizzo,lizzo,Person,Female
Bad Bunny,bad-bunny,Person,Male
ABBA,abba,Group,Mixed
